date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:38	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Mar%202026%2000:16:38%20GMT	https://web.archive.org/robots.txt		(from )
21:16:38	238901/238901	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202026%2000:16:38%20GMT	https://web.archive.org/web/20230202102809/https://www.funintec.org.ar/futuros-energia/	C:/My%20Web%20Sites/f3/web.archive.org/web/20230202102809/https_/www.funintec.org.ar/futuros-energia/index.html	(from )
21:16:40	15127/15127	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2268fa9f1e-3b17%22	http://archive.org/includes/athena.js	C:/My%20Web%20Sites/f3/archive.org/includes/athena.js	(from https://web.archive.org/web/20230202102809/https://www.funintec.org.ar/futuros-energia/)
21:16:41	27135/27135	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Mar%202026%2000:55:41%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=2N_sDSC0	C:/My%20Web%20Sites/f3/web-static.archive.org/_static/js/bundle-playbackffba.js	(from https://web.archive.org/web/20230202102809/https://www.funintec.org.ar/futuros-energia/)
21:16:42	126763/126763	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2004%20Mar%202026%2000:51:13%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/f3/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20230202102809/https://www.funintec.org.ar/futuros-energia/)
21:16:42	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Mar%202026%2016:45:07%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/f3/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20230202102809/https://www.funintec.org.ar/futuros-energia/)
21:16:43	10252/10252	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202026%2000:55:41%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=1utQkbB3	C:/My%20Web%20Sites/f3/web-static.archive.org/_static/css/banner-styles074f.css	(from https://web.archive.org/web/20230202102809/https://www.funintec.org.ar/futuros-energia/)
21:16:43	5649/5649	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202026%2000:55:41%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/f3/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20230202102809/https://www.funintec.org.ar/futuros-energia/)
21:16:44	152048/152048	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sun,%2029%20Mar%202026%2000:16:44%20GMT	https://web.archive.org/web/20230202102809cs_/https://www.funintec.org.ar/_dev/wp-content/plugins/novashare/css/style.min.css?ver=1.3.7	C:/My%20Web%20Sites/f3/web.archive.org/web/20230202102809cs_/https_/www.funintec.org.ar/_dev/wp-content/plugins/novashare/css/style.min52d0.css	(from https://web.archive.org/web/20230202102809/https://www.funintec.org.ar/futuros-energia/)
21:16:44	152176/152176	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sun,%2029%20Mar%202026%2000:16:44%20GMT	https://web.archive.org/web/20230202102809cs_/https://www.funintec.org.ar/_dev/wp-content/cache/min/1/_dev/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1669402252	C:/My%20Web%20Sites/f3/web.archive.org/web/20230202102809cs_/https_/www.funintec.org.ar/_dev/wp-content/cache/min/1/_dev/wp-content/plugins/contact-form-7/includes/css/styles006b.css	(from https://web.archive.org/web/20230202102809/https://www.funintec.org.ar/futuros-energia/)
